"Date","temperature","NO2","O3"
43110,-1.5,18,15
43110.0416666667,-2.5,11,21
43110.0833333333,-3.3,8,25
43110.125,-3.5,8,26
43110.1666666667,-3.9,12,21
43110.2083333333,-4.7,16,19
43110.25,-3.3,16,20
43110.2916666667,-3,21,16
43110.3333333333,-3,15,24
43110.375,-1.7,6,32
43110.4166666667,-0.3,6,31
43110.4583333333,0,7,30
43110.5,0.7,5,32
43110.5416666667,0.5,5,32
43110.5833333333,0.5,6,31
43110.625,0.3,9,-999
43110.6666666667,0,10,28
43110.7083333333,0.3,10,28
43110.75,1,11,26
43110.7916666667,1.4,14,22
43110.8333333333,1.8,16,19
43110.875,1.9,18,17
43110.9166666667,2.4,19,15
43110.9583333333,4.1,24,10
43111,4.5,31,4
43111.0416666667,6.6,19,15
43111.0833333333,4.5,15,17
43111.125,4.8,15,18
43111.1666666667,5.1,11,23
43111.2083333333,5.6,13,22
43111.25,7.8,14,21
43111.2916666667,8.3,19,18
43111.3333333333,9,18,18
43111.375,9.4,19,19
43111.4166666667,10,15,23
43111.4583333333,10.6,13,25
43111.5,11.4,12,26
43111.5416666667,11.7,14,24
43111.5833333333,12.3,18,22
43111.625,12.4,24,18
43111.6666666667,11.8,21,20
43111.7083333333,9.8,16,23
43111.75,10.5,11,26
43111.7916666667,10.5,11,25
43111.8333333333,10.5,11,24
43111.875,10.2,9,26
43111.9166666667,10.2,7,27
43111.9583333333,10.1,6,29
43112,9.9,6,28
43112.0416666667,10.4,6,27
43112.0833333333,10.3,6,26
43112.125,10.4,6,25
43112.1666666667,11.2,7,24
43112.2083333333,12.1,8,22
43112.25,11.9,13,18
43112.2916666667,11.5,19,12
43112.3333333333,10.8,18,8
43112.375,5,10,8
43112.4166666667,3.5,8,13
43112.4583333333,2.6,9,17
43112.5,0.1,8,20
43112.5416666667,-2,9,22
43112.5833333333,-4.3,9,24
43112.625,-6.6,9,26
43112.6666666667,-7.9,8,27
43112.7083333333,-8.3,9,26
43112.75,-8.8,7,30
43112.7916666667,-9.4,7,32
43112.8333333333,-9.7,7,32
43112.875,-10.6,7,33
43112.9166666667,-10.9,6,34
43112.9583333333,-11.6,6,34
43113,-12.1,5,34
43113.0416666667,-12.4,4,35
43113.0833333333,-12.8,3,35
43113.125,-13.2,4,35
43113.1666666667,-13.4,3,36
43113.2083333333,-13.6,4,35
43113.25,-13.8,5,34
43113.2916666667,-14.1,5,32
43113.3333333333,-14.1,6,31
43113.375,-14,8,29
43113.4166666667,-13.5,7,29
43113.4583333333,-12.8,7,29
43113.5,-12.2,7,29
43113.5416666667,-12.1,6,30
43113.5833333333,-11.9,6,31
43113.625,-12.4,7,31
43113.6666666667,-12.6,7,31
43113.7083333333,-12.8,9,30
43113.75,-13.5,10,29
43113.7916666667,-13.9,11,28
43113.8333333333,-14.2,13,25
43113.875,-14.6,14,24
43113.9166666667,-14.7,14,23
43113.9583333333,-14.9,15,22
43114,-15.5,17,21
43114.0416666667,-16.2,29,8
43114.0833333333,-16.5,32,6
43114.125,-16.6,-999,-999
43114.1666666667,-16.8,40,1
43114.2083333333,-16.1,41,1
43114.25,-15.6,41,1
43114.2916666667,-15.2,39,1
43114.3333333333,-15.1,34,5
43114.375,-13.2,28,12
43114.4166666667,-11.1,14,23
43114.4583333333,-9.8,8,29
43114.5,-7.8,8,29
43114.5416666667,-7.2,10,29
43114.5833333333,-7,13,26
43114.625,-6.7,11,28
43114.6666666667,-6.8,8,31
43114.7083333333,-7.4,12,27
43114.75,-7.9,14,25
43114.7916666667,-7.4,7,32
43114.8333333333,-7.5,6,33
43114.875,-8.1,5,34
43114.9166666667,-7.7,4,34
43114.9583333333,-7.5,3,35
43115,-8.2,3,35
43115.0416666667,-8.6,2,36
43115.0833333333,-8.8,2,36
43115.125,-8.9,2,36
43115.1666666667,-9,2,36
43115.2083333333,-8.5,2,36
43115.25,-8.1,2,37
43115.2916666667,-8,4,36
43115.3333333333,-7.4,10,28
43115.375,-6.9,11,28
43115.4166666667,-7.6,9,29
43115.4583333333,-7.6,6,31
43115.5,-7.3,11,27
43115.5416666667,-7.8,11,27
43115.5833333333,-8,9,30
43115.625,-7.9,8,32
43115.6666666667,-7.9,9,30
43115.7083333333,-7.5,17,21
43115.75,-7,17,21
43115.7916666667,-6.8,17,21
43115.8333333333,-7.8,19,19
43115.875,-8.3,19,18
43115.9166666667,-8.4,20,17
43115.9583333333,-8.3,20,16
43116,-8.2,23,14
43116.0416666667,-8.1,21,14
43116.0833333333,-8.1,21,14
43116.125,-8.3,23,12
43116.1666666667,-8.4,22,12
43116.2083333333,-9.4,25,10
43116.25,-9.7,29,6
43116.2916666667,-9.1,36,2
43116.3333333333,-9.3,37,3
43116.375,-9.2,34,5
43116.4166666667,-7.8,30,8
43116.4583333333,-6.2,27,-999
43116.5,-5.1,26,13
43116.5416666667,-4,21,16
43116.5833333333,-3.8,18,20
43116.625,-4.2,17,22
43116.6666666667,-4,25,15
43116.7083333333,-4.5,31,8
43116.75,-4.6,34,4
43116.7916666667,-5.5,26,10
43116.8333333333,-6.3,34,4
43116.875,-6.9,33,5
43116.9166666667,-8.1,24,10
43116.9583333333,-8.8,24,11
